"","omegat","Ft","Mt","alphat","rhot","initN"
"1",0.0829406,0.126056,0.422681,9.35459614111328,0.937954000748035,0.575906296118367
"2",-0.5129,0.130677,0.443116,10.1830243727891,0.923896975403053,0.793118498740792
"3",-1.0617,0.15054,0.466589,5.85058023632816,0.991698039441805,0.676115809908363
"4",-0.493366,0.187962,0.499061,8.60681180800747,0.950466543107945,0.653270855954204
"5",-0.0487679,0.218897,0.547467,11.1854970103777,0.90863528201213,0.553735982814711
"6",-0.500145,0.380159,0.612853,9.29458650336194,0.929779498335338,0.221021750785465
"7",-1.56228,0.667772,0.714542,7.3263526955739,0.969974520317417,0.148649080187863
"8",-1.54897,0.898774,0.871955,7.82123730783864,0.955733364561931,0.170961125254918
"9",-1.31269,1.33983,1.12078,9.07003569963908,0.942623015687236,0.115887249111896
"10",-1.30172,2.01375,1.3618,8.16002067425739,0.95280157955195,0.085190641705097
"11",-0.648213,1.0995,1.37328,17.8328831704364,0.832236956696751,0.0263280783266087
"12",0.0607166,0.111409,1.20533,8.88644874136056,0.943877805582756,0.00842674471488184
"13",0.448938,0.0222034,1.06235,10.2208639110847,0.927238625924515,0.00413854658696631
"14",0.00929035,0.0922463,1.00459,9.64760484174855,0.932125733644436,0.00298872162613855
"15",-0.0467386,0.0434336,1.00532,7.18741851867636,0.973288271162838,0.00394094892593173
"16",0.0480871,0.203843,1.06296,8.95401252902076,0.945540979731306,0.00171673806787024
"17",-0.349698,0.374987,1.11144,6.01092624372744,0.993750365547704,0.00105691724710692
"18",-0.32648,0.284354,1.14132,9.01140028074074,0.950549350605538,0.000752092906387197
"19",0.258827,0.441943,1.20961,7.71725743668776,0.959877200974769,0.000534257814917873
"20",1.03939,0.574768,1.23033,7.07905041152923,0.967768602281494,0.00066718179477706
"21",1.69211,0.195776,1.06576,9.96037732955819,0.917409471015952,NA
"22",1.19852,0.104637,0.844833,10.0221536632936,0.923642484440869,NA
"23",0.974261,0.166619,0.674345,10.2208639110847,0.927238625924515,NA
"24",0.788665,0.216015,0.576862,9.64760484174855,0.932125733644436,NA
"25",0.490523,0.130349,0.527719,7.18741851867636,0.973288271162838,NA
"26",-0.0418427,0.0885388,0.497487,8.95401252902076,0.945540979731306,NA
"27",-0.215499,0.0639657,0.481379,6.01092624372744,0.993750365547704,NA
"28",0.234995,0.0546777,0.471762,9.01140028074074,0.950549350605538,NA
"29",-0.61228,0.0620308,0.460683,7.71725743668776,0.959877200974769,NA
"30",-0.983414,0.0536964,0.449628,7.07905041152923,0.967768602281494,NA
"31",0.508114,0.0533443,0.445021,9.96037732955819,0.917409471015952,NA
"32",0.134485,0.0482155,0.443665,10.0221536632936,0.923642484440869,NA
